,Source,Target
0,Go.,যাও।
1,Go.,যান।
2,Go.,যা।
3,Run!,পালাও!
4,Run!,পালান!
5,Who?,কে?
6,Fire!,আগুন!
7,Help!,বাঁচাও!
8,Help!,বাঁচান!
9,Stop!,থামুন!
10,Stop!,থামো!
11,Stop!,থাম!
12,Hello!,নমস্কার!
13,I see.,বুঝলাম।
14,I try.,আমি চেষ্টা করি।
15,Smile.,একটু হাসুন।
16,Smile.,একটু হাসো।
17,Attack!,আক্রমণ!
18,Get up.,ওঠো।
19,Get up.,উঠুন।
20,Got it!,বুঝে গেছি!
21,Got it!,ধরেছি!
22,Got it?,বুঝেছো?
23,Got it?,বুঝেছেন?
24,Got it?,বুঝেছিস?
25,I know.,আমি জানি।
26,I know.,আমার জানা আছে।
27,I lost.,আমি হেরে গেছি।
28,I'm 19.,আমার ১৯ বছর বয়স।
29,I'm OK.,আমি ঠিক আছি।
30,Listen.,শোন।
31,Listen.,শুনুন।
32,No way!,কোন মতেই না!
33,Really?,সত্যি?
34,Really?,তাই নাক?
35,Thanks.,ধন্যবাদ।
36,Try it.,চেখে দেখুন।
37,Try it.,চেখে দেখো।
38,We won.,আমরা জিতে গেছে।
39,Why me?,আমিই কেন?
40,Ask Tom.,টমকে জিজ্ঞাসা করো।
41,Ask Tom.,টমকে জিজ্ঞাসা করুন।
42,Ask Tom.,টমকে জিজ্ঞাসা কর।
43,Call me.,আমাকে ডেক।
44,Call me.,আমাকে ডাকবেন।
45,Call me.,আমাকে ডাকিস।
46,Call us.,আমাদের ডেকো।
47,Call us.,আমাদের ডাকিস।
48,Call us.,আমাদের ডাকবেন।
49,Come in.,ভেতরে আসুন।
50,Come in.,ভেতরে আসো।
51,Get Tom.,টমকে আনো।
52,Get Tom.,টমকে ডাকো।
53,Get Tom.,টমকে ধরো।
54,Get Tom.,টমকে আনুন।
55,Get Tom.,টমকে ডাকুন।
56,Get Tom.,টমকে ধরুন।
57,Get out.,বেরও।
58,Get out.,বেরো।
59,Go away!,চলে যাও!
60,Go away!,চলে যান।
61,Go away.,চলে যাও।
62,Go away.,চলে যান।
63,Go home.,বাড়ি যাও।
