,Source,Target
2041,This is what I want.,আমি এইটাই চাই।
47,Call us.,আমাদের ডাকিস।
4229,What will you be doing at this time tomorrow?,কাল আপনি এই সময় কি করবেন?
2578,Tom read lots of books.,টম প্রচুর বই পড়ে।
183,I'm full.,আমার পেট ভরতি হয়ে গেছে।
3475,I found this book interesting.,আমার এই বইটা আকর্ষণীয় বলে মনে হয়েছিল।
3566,I am going to America by plane.,আমি বিমানে করে আমেরিকা যাচ্ছি।
1064,We are doctors.,আমরা ডাক্তার।
1201,I was a teacher.,আমি একজন শিক্ষক ছিলাম।
2175,I'm not your teacher.,আমি তোমার শিক্ষক নই।
1878,This is a hospital.,এটা একটা হাসপাতাল।
1690,My shoulders hurt.,আমার কাঁধ ব্যাথা করছে।
1432,Everybody saw it.,সবাই সেটা দেখেছিলো।
1491,I live near here.,আমি কাছাকাছিই থাকি।
29,I'm OK.,আমি ঠিক আছি।
2279,Eat whatever you like.,তোমার যা পছন্দ হয় তাই খাও।
2728,Tom was born in October.,টম অক্টোবরে জন্মেছিলো।
16,Smile.,একটু হাসো।
2035,They were all happy.,ওনারা সবাই সুখী ছিলেন।
2147,I did that last year.,আমি ওটা গত বছর করেছিলাম।
3934,You're sitting too close to the TV.,আপনি টিভির খুব কাছে বসে আছেন।
471,Stop there.,ওখানেই থামুন।
572,I live here.,আমি এখানে বাস করি।
2689,Mary is a very shy girl.,মেরি খুব লাজুক মেয়ে।
1957,Do you have my book?,আপনার কাছে কি আমার বইটা আছে?
3790,What is the meaning of that word?,ওই শব্দটার মানে কী?
467,Stay there.,ওখানেই থাকো।
488,Tom's deaf.,টম বধির।
940,We're trapped.,আমরা আটকে পরেছি।
1506,I'm pretty tired.,আমি বেশ ক্লান্ত।
374,Don't come.,আসবেন না।
867,It's not mine.,এটা আমার নয়।
1636,Everyone is tired.,সবাই পরিশ্রান্ত।
1159,I am very tired.,আমি খুব ক্লান্ত।
2464,Don't underestimate me.,আমাকে কোন অংশে কম মনে কোরো না।
55,Get Tom.,টমকে ডাকুন।
3602,There is a mistake in the bill.,বিলটায় একটা ভুল আছে।
3426,The museum is closed Sundays.,জাদুঘরটা রবিবার করে বন্ধ থাকে।
1381,Wait right here.,ঠিক এখানেই অপেক্ষা করো।
4273,She explained the literal meaning of the phrase.,উনি বাক্যাংশটির আক্ষরিক অর্থ ব্যাখ্যা করে দিলেন।
2820,The museum is closed now.,জাদুঘর এখন বন্ধ আছে।
3896,I want to get off at the next stop.,আমি পরের স্টপে নামতে চাই।
4155,I need to buy some medicine for my father.,আমি আমার বাবার জন্য কিছু ওষুধ কিনতে চাই।
3226,I'd like to open an account.,আমি একটা অ্যাকাউন্ট খুলতে চাই।
2959,The hospital is near here.,হাসপাতালটা কাছাকাছির মধ্যেই আছে।
3577,I think Tom only speaks French.,আমার মনে হয় টম খালি ফরাসি ভাষায় কথা বলে।
4034,What time does the airport bus leave?,এয়ারপোর্টের বাসটা কটায় ছাড়ে?
1172,I don't deny it.,আমি এটা অস্বীকার করি না।
3362,Football is my favorite game.,ফুটবল আমার প্রিয় খেলা।
710,I've seen it.,আমি এটা দেখেছি।
3346,You're not paying attention.,তুমি কিন্তু মনোযোগ দিচ্ছো না।
3395,I don't want to be like that.,আমি ওইরকম হতে চাই না।
2042,Tom began screaming.,টম চেঁচানো শুরু করলো।
1260,I've got a cold.,আমার ঠান্ডা লেগেছে।
2899,He eats nothing but fruit.,উনি ফল ছাড়া আর কিছুই খান না।
1374,Tom worked here.,টম এখানে কাজ করতো।
729,Please hurry.,একটু তারাতারি করো।
3304,Tom wanted to talk with you.,টম আপনার সাথে কথা বলতে চেয়েছিল।
1478,I believe in you.,আমি তোমাকে বিশ্বাস করি।
291,I'm clean.,আমি পরিষ্কার।
2319,I have to go to sleep.,আমাকে ঘুমাতে যেতে হবে।
1022,No one laughed.,কেউ হাঁসলো না।
4353,"If he had taken his doctor's advice, he might still be alive.","উনি যদি ওনার ডাক্তারের পরামর্শ মানতেন, তাহলে হয়তো এখনো বেঁচে থাকতেন।"
2131,Have you finished it?,আপনাদের ওটা করা হয়ে গেছে?
39,Why me?,আমিই কেন?
472,Stop there.,ওখানেই থামো।
2782,I didn't complain at all.,আমি একদমই অভিযোগ করিনি।
726,Now fix that.,এবার ওটা ঠিক করো।
2117,Does Tom play tennis?,টম কি টেনিস খেলে?
3793,What time does your plane depart?,আপনার প্লেনটা কটার সময় ছাড়বে?
2669,I missed the 7:00 train.,আমি ৭ঃ০০টার ট্রেনটা ধরতে পারিনি।
2217,Tom is in his office.,টম ওর অফিসে রয়েছে।
2761,Do you know what he said?,আপনি কি জানেন উনি কী বললেন?
3141,Grammar is very complicated.,ব্যাকরণ খুব জটিল।
4064,Your daughter is not a child any more.,তোমার মেয়ে আর বাচ্চা নেই।
4352,"What's going on in the cave? I'm curious. ""I have no idea.""","গুহার ভেতর কি হচ্ছে? আমি জানার জন্য উৎসুক হয়ে আছি। ""আমার কোনো ধারণা নেই।"""
3671,I think it's impossible for Tom.,আমার মনে হয় টমের পক্ষে এটা অসম্ভব।
2088,Why are you yelling?,আপনি চিৎকার করছেন কেন?
187,I'm lost.,আমি হারিয়ে গেছি।
1251,I'm pretty sure.,আমি মোটামুটি নিশ্চিত।
124,Who ran?,কে দৌড়ালেন?
4228,What time does the train for New York depart?,নিউ ইয়র্কের ট্রেনটা কটার সময় ছাড়ে?
1284,It's time to go.,এবার যেতে হবে।
3989,Do you understand what I want to say?,আমি কী বলতে চাইছি আপনি বুঝতে পারছেন?
288,I'll talk.,আমি কথা বলব।
130,You run.,তোমরা দৌড়াও।
1407,Your time is up.,তোমার সময় শেষ।
639,Tom saw you.,টম তোমাকে দেখলো।
1979,I have lost my keys.,আমি আমার চাবি হারিয়ে ফেলেছি।
317,See below.,নীচে দেখুন।
531,Don't fight.,লড়াই কোরো না।
886,She got angry.,ইনি রেগে গেছিলেন।
2072,What does that mean?,ওটার মানে কী?
2198,The rules are simple.,নিয়মগুলো সহজ।
2907,He's sleeping like a baby.,উনি বাচ্চাদের মত ঘুমাচ্ছেন।
2760,Do you have a pen on you?,তোমার কাছে একটা পেন হবে?
1075,What do you do?,তোমরা কি কর?
1522,My father smokes.,আমার বাবা ধূমপান করে।
866,It isn't mine.,এটা আমার নয়।
2862,What's your home address?,তোমার বাড়ির ঠিকানাটা কী?
1121,Don't open that.,ওটা খুলো না।
2181,My father is at home.,আমার বাবা বাড়িতে।
117,We lost.,আমরা হেরে গেছিলাম।
618,They yelled.,তাঁরা চেঁচালেন।
430,I saw them.,আমি তাদের দেখতে পেলাম।
2040,This is my daughter.,এটা আমার মেয়ে।
3536,Would you like to come inside?,আপনি কি ভেতরে আসবেন?
1318,She is a doctor.,সে একজন ডাক্তার।
3514,Tom earns twice as much as me.,টম আমার থেকে দ্বিগুন আয় করে।
3046,I can't attend the meeting.,আমি সভাতে উপস্থিত থাকতে পারব না।
3674,I would never have guessed that.,আমি কখনই এটা আন্দাজ করতে পারতাম না।
1500,I'm able to swim.,আমি সাঁতার কাটতে সক্ষম।
1336,They all talked.,ওনারা সবাই কথা বললো।
3160,I can swim across the river.,আমি নদি সাঁতরে পার হতে পারি।
1316,She is a doctor.,তিনি একজন ডাক্তার।
3179,I don't want to go with Tom.,আমি টমের সঙ্গে যেতে চাই না।
2443,Winning is never easy.,জেতাটা কখনোই সহজ নয়।
2301,He's eating lunch now.,সে এখন লাঞ্চ করছে।
3759,I would like you to come with me.,আমি চাই আপনারা আমার সাথে আসুন।
2533,Is Tom still mad at me?,টম কি এখনো আমার উপর রেগে আছে?
3915,The market is next to the pharmacy.,বাজারটা ডাক্তারখানার পাশে।
1253,I'm quite tired.,আমি বেশ ক্লান্ত।
1008,Is this enough?,এটা কি যথেষ্ট?
1661,I lost my luggage.,আমি আমার মালপত্র হারিয়ে ফেলেছি।
964,Everybody paid.,সবাই টাকা দিলো।
375,Don't come.,আসিস না।
2240,You don't understand.,আপনি বোঝেন না।
2763,Do you know what he said?,আপনি কি জানেন ও কী বললো?
2552,She can speak Japanese.,উনি জাপানি বলতে পারেন।
1341,They don't care.,এরা পরোয়া করে না।
2491,He went to the dentist.,উনি দাঁতের ডাক্তারের কাছে গেছিলেন।
279,I am well.,আমি ভালো আছি।
3809,He decided not to go to the party.,ও পার্টিতে না যাওয়াই ঠিক করলো।
2865,What's your phone number?,তোমার ফোন নাম্বারটা কী?
1348,They're doctors.,তারা ডাক্তার।
809,Eat something.,কিছু খান।
4283,This project will take at least a year to finish.,এই প্রকল্পটা শেষ হতে আরো অন্তত এক বছর লাগবে।
889,She is eating.,তিনি খাচ্ছেন।
3904,Nowadays nobody believes in ghosts.,এখনকার দিনে কেউই ভুতে বিশ্বাস করে না।
2982,Tom wanted to talk to you.,টম আপনার সাথে কথা বলতে চেয়েছিল।
2515,I need those documents.,আমার ওই কাগজপত্রগুলো দরকার।
2891,Do you have your passport?,আপনার কাছে কি আপনার পাসপোর্টটা আছে?
662,You fainted.,তুমি অজ্ঞান হয়ে গেছিলে।
1798,I agree completely.,আমি পুরোপুরি একমত।
4171,Why don't you try to take your money back?,আপনি আপনার টাকাটা ফেরত নেওয়ার চেষ্টা করছেন না কেন?
2174,I'm not very patient.,আমি খুব একটা ধৈর্যশীল নই।
1029,Stop screaming.,চিৎকার করা বন্ধ করুন।
1758,Where's the knife?,ছুৃরিটা কোথায়?
2562,The rain lasted a week.,বৃষ্টিটি এক সপ্তাহ ধরে চলেছিল।
2426,What have you brought?,আপনি কী এনেছেন?
1515,Is this your car?,এটা কি তোর গাড়ি?
603,Is that all?,অার কিছু?
3710,Where is the Australian embassy?,অস্ট্রেলীয় দূতাবাসটা কোথায়?
2372,She has two daughters.,ওনার দুটো মেয়ে আছে।
3342,Why do you want to meet Tom?,তুমি টমের সঙ্গে কেন দেখা করতে চাও?
2342,I've finished my work.,আমি আমার কাজ শেষ করেছি।
2054,Tom rushed upstairs.,টম দৌড়ে উপরে গেলো।
1659,I have two nieces.,আমার দুটো ভাইঝি আছে।
4294,Tom is one of the most generous people I ever met.,টম আমার দেখা সবচেয়ে উদার মানুযদের মধ্যে একজন।
325,Stay here.,এখানে দাঁড়াও।
3247,It was entirely Tom's fault.,এটা পুরোপুরিই টমের দোষ ছিলো।
